agreement_id,agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path,agreement_id.1,summary
17,Dynamic A.I. Audio Commercials Waiver,https://www.sagaftra.org/files/sa_documents/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.md,17,"This waiver outlines the specific terms and conditions for performers involved in the creation of dynamic audio commercials that utilize digital voice replicas. It establishes compensation rates for live sessions, the creation of AI-generated commercials and customization elements using the performer's voice replica, and digital-only use fees. The agreement also includes provisions for health and retirement contributions and the protection and security of the digital voice replica, while incorporating other applicable terms from the SAG-AFTRA Audio Commercials Contract. It explicitly states that these terms apply only to dynamic audio commercials using voice replicas and not to standard audio commercials or terrestrial radio use."
18,2022 SAG-AFTRA Jingle Agreement,https://www.sagaftra.org/files/sa_documents/2022%20Jingle%20Agreement%20(1).pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Jingle%20Agreement%20(1).pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Jingle%20Agreement%20(1).md,18,"This agreement between a Producer and SAG-AFTRA sets the terms and conditions for the recording and use of station operational non-commercial jingles performed by singers. It incorporates the 2022 SAG-AFTRA Commercials Contract but modifies it specifically for these jingles. The jingles covered are for unlimited use only on the stations for which they are recorded and must not contain commercial copy or messages. The agreement applies only to individuals considered ""employees"" of the Producer and does not cover commercials or other types of content."
19,2016 Audio Commercials Contract E-Book,https://www.sagaftra.org/files/sa_documents/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf,2016 SAG-AFTRA Commercials Contract in electronic format for Internet,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2016%20sagaftra_audio_commercial_cntrct_ebook.md,19,"This agreement, the 2016 SAG-AFTRA Audio Commercials Contract, is made between SAG-AFTRA and the ANA-4A's Joint Policy Committee (representing advertisers and agencies). Its main purpose is to establish the minimum terms and conditions for the engagement of performers (actors, singers, announcers, sound effects persons) in commercials made for use on the Internet, New Media (digital/electronic platforms), commercial sound recordings, and other audio reproduction means for radio or television broadcasting. The scope includes recognition of SAG-AFTRA as the exclusive bargaining agency, requirements for performer union membership, provisions for dispute resolution via arbitration, and detailed terms regarding payment due dates and handling of overpayments."
20,2019 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/sa_documents/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf,Effective 4/1/2019 - 3/31/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.md,20,"This Memorandum of Agreement (MOA) between SAG-AFTRA and The Joint Policy Committee, LLC updates the 2016 Audio Commercials Contract, implementing changes such as a 6% increase in minimum compensation, revised rules for commercial usage and unauthorized use on digital platforms, new provisions on auditions and non-discrimination, and adjustments to health and retirement fund contributions, effective from April 1, 2019, to March 31, 2022."
21,2022 Corporate Educational and Non-Broadcast Contract Ebook,https://www.sagaftra.org/sites/default/files/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.md,21,"This agreement, effective November 1, 2022, is between SAG-AFTRA and Producers, establishing minimum wage scales and working conditions for performers in Corporate/Educational and Non-Broadcast programs. It covers various types of non-broadcast content used for instruction, education, sales, or entertainment at specific locations, defining what constitutes a 'program' and categorizing them into Category I (primarily training/information, often perpetual use) and Category II (primarily sales/promotion, restricted exhibition, 3-year use limit). The agreement explicitly excludes commercials, which are covered by a separate contract, and requires separate negotiation for programs intended for World's Fairs or similar events."
22,12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement,https://www.sagaftra.org/sites/default/files/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf,,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.md,22,"This agreement extends the COVID-19 Production Safety and Testing Protocol Agreement for the Corporate/Educational & Non-Broadcast Contract until March 31, 2023, continuing the effective safety measures for cast and crew."
23,Notice of Termination of Co-Ed COVID Protocols 2023,https://www.sagaftra.org/sites/default/files/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf,,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.md,23,"This notice from SAG-AFTRA announces the termination of the COVID-19 Production Safety and Testing Protocol Agreement, effective May 11, 2023, coinciding with the end of the federal public health emergency. The agreement outlines transitional provisions, including allowing existing mandatory vaccination policies to continue for ongoing productions, permitting performers to request testing for close contact or extreme exertion scenes until July 31, 2023, and requiring producers to seek separate agreement with SAG-AFTRA to retain any previous COVID safety protocols after the termination date."
24,COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts,https://www.sagaftra.org/sites/default/files/CoEdProtocols.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/CoEdProtocols.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/CoEdProtocols.md,24,"This temporary agreement between SAG-AFTRA and Corporate/Educational & Non-Broadcast signatory companies establishes COVID-19 production safety and testing protocols. Effective January 7, 2022, it applies to all individuals on projects covered under the 2019 SAG-AFTRA Corporate/Educational & Non-Broadcast Contract. The agreement outlines mandatory requirements for pre-employment and ongoing testing, daily health assessments, and temperature checks to mitigate risks during the pandemic."
25,2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver,https://www.sagaftra.org/sites/default/files/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf,This waiver allows a producer on a print campaign to compensate only profession performers for b-roll/behind-the-scenes footage. Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.md,25,"This Letter of Adherence binds the undersigned Company (Employer) to the terms and conditions of the 2022 SAG-AFTRA Corporate/Educational & Non-Broadcast Contract, as modified, specifically for the production of Behind-the-Scenes footage incidental to a non-covered Print Campaign. The agreement applies only to professional performers engaged for this specific footage production (ONE PRODUCTION ONLY), classifies the footage as a Category II Corporate/Educational project, and includes adherence to the Contract's arbitration, health, and retirement provisions."
26,Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver,https://www.sagaftra.org/sites/default/files/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Co-EdAutoShowTradeShowWaiverLOAOPO.md,26,"This agreement is a Letter of Adherence allowing an employer to use SAG-AFTRA performers for specific ""Behind-the-Scenes"" footage incidental to Auto Shows or Trade Shows for one production. It incorporates the SAG-AFTRA Corporate/Educational & Non-Broadcast Contract terms, classifying the footage as Category II (Half-Day Rate) and applying the contract only to performers on this footage, while requiring adherence to health/retirement plans and arbitration."
27,2022 Atlanta Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.md,27,"This document, the 2022 Atlanta Local Corporate-Educational Code, is a specific waiver to the 2022 SAG-AFTRA Corporate/Educational & Non-Broadcast Contract, applicable only within the Atlanta Local jurisdiction. It incorporates all terms of the main contract unless expressly modified herein. The primary modifications include permitting a mixed cast of professional and non-professional talent, provided minimum requirements for professional performers are met and they are contracted under SAG-AFTRA. Production under this code is strictly limited to the Atlanta Local."
28,2022 Arizona-Utah Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.md,28,"This document is the 2022 Arizona-Utah Local Corporate/Educational Code, a waiver to the national SAG-AFTRA Corporate/Educational & Non-Broadcast Contract. Its main purpose is to modify certain terms of the national contract specifically for productions within the Arizona-Utah Local jurisdiction. Key modifications include allowing mixed casts of professional and non-professional talent (with conditions), reducing the rate category structure and rates to 80% of national Category I rates, offering a reduced half-day rate for On-Camera Narrators, and allowing performers to negotiate external supplemental use rights. The agreement is co-terminus with the national contract and strictly limited to the Arizona-Utah Local's geographic scope."
29,2022 Chicago Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf,Informational / Guide PDF,Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.md,29,"This document, the 2022 Chicago Local Corporate/Educational Code, is a waiver and modification of the 2022 SAG-AFTRA Corporate/Educational & Non-Broadcast Contract, specifically approved for use only within the SAG-AFTRA Chicago Local jurisdiction (Illinois, Indiana, Iowa, and Wisconsin). Its main purpose is to adapt the standard contract terms for local productions, allowing for mixed casts of professional and non-professional talent (with only professionals covered), modifying the rate structure based on geographic location within the jurisdiction, and establishing specific rules for usage rights, multiple programs recorded in a day, half-day narrator rates, meal breaks, and live events. Production under this code is strictly limited to the Chicago Local's geographic area."
