radioName,agreement_id,agreement_title,agreement_text_url,system_validity_from,system_valid_to,system_impacted_agreements_string
validation,25,2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver,https://www.sagaftra.org/sites/default/files/2022%20Co-Ed%20Print%20Campaign%20waiver%20LOA.pdf,2022/XX/XX,,'2022 Corporate Educational and Non-Broadcast Contract Ebook'
validation,26,Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver,https://www.sagaftra.org/sites/default/files/Co-EdAutoShowTradeShowWaiverLOAOPO.pdf,XX/XX/XX,,
validation,27,2022 Atlanta Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Atlanta%20Local%20Co_Ed%20Code%201.31.23.pdf,2022/XX/XX,,'2022 Corporate Educational and Non-Broadcast Contract Ebook'
validation,28,2022 Arizona-Utah Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Arizona-Utah%20Local%20Co_Ed%20Code%201.31.23%20%281%29.pdf,2022/XX/XX,,'2022 Corporate Educational and Non-Broadcast Contract Ebook'
validation,29,2022 Chicago Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Chicago%20Local%20Co_Ed%20Code%202.23.pdf,2022/XX/XX,,"'2022 Corporate Educational and Non-Broadcast Contract Ebook', 'Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver', '2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver'"
validation,30,2022 Hawaii Local Corporate-Educational Code,https://www.sagaftra.org/sites/default/files/2022%20Hawaii%20Local%20Co_Ed%20Code%202.23.pdf,2022/XX/XX,,'2022 Corporate Educational and Non-Broadcast Contract Ebook'
validation,31,Modified Dubbing Agreement,https://www.sagaftra.org/sites/default/files/2022SAG-AFTRADubbingAgreement_0.pdf,2021/XX/XX,,'2014 SAG-AFTRA Basic Agreement'
validation,32,Spanish Language Modification (Dubbing) Agreement,https://www.sagaftra.org/sites/default/files/SAG-AFTRA%20Spanish%20Language%20Modification%20%28Dubbing%29.pdf,XXXX/XX/XX,,'2014 SAG-AFTRA Basic Agreement'
validation,33,Netflix Dubbing Agreement,https://www.sagaftra.org/sites/default/files/ReferenceOnly-NetflixDubbingAgreement.pdf,2019/11/01,,
validation,34,Negotiated Dubbing Employers Agreement,https://www.sagaftra.org/sites/default/files/Negotiated%20Dubbing%20Employers%20Agreement.pdf,2023/01/28,2026/12/31,'2014 SAG-AFTRA Basic Agreement'
validation,35,Netflix Agreement MOA,https://www.sagaftra.org/sites/default/files/2022%20SAG-AFTRA-Netflix%20MOA%20%28FINAL%29%209.20.22.pdf,2022/08/02,,"'Netflix Agreement MOA', '2020 Theatrical/Television MOA', 'Netflix Dubbing Agreement'"
validation,36,2024 Tiered-Budget Independent Interactive Media Agreemen,https://www.sagaftra.org/sites/default/files/2024%20Tiered-Budget%20Independent%20Interactive%20Media%20Agreement_1.pdf,2024/01/01,2027/12/31,
validation,37,2024 Independent Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2024%20Independent%20Interactive%20Localization%20Agreement_0.pdf,2024/01/01,2027/12/31,'2024 SAG-AFTRA Independent Interactive Media Agreement'
validation,38,Interim Interactive Media Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Agreement.pdf,2024/07/26,2025/11/08,"'2011-2014 AFTRA Interactive Media Agreement (base agreement)', '2017 Interactive Media Memorandum of Agreement (2017 updates)', '2020 Interactive Media Memorandum of Agreement (2020 updates)'"
validation,39,2011-2014 AFTRA Interactive Media Agreement (base agreement),https://www.sagaftra.org/sites/default/files/2011%20-%202014%20AFTRA%20IMA%20and%20Sideletters%20-%20FINAL.pdf,2011/07/01,2014/12/31,
validation,40,2017 Interactive Media Memorandum of Agreement (2017 updates),https://www.sagaftra.org/sites/default/files/2017SAG-AFTRAIMAMOAwSchA_final.pdf,2017/11/08,2020/11/07,'2011-2014 AFTRA Interactive Media Agreement (base agreement)'
validation,41,2020 Interactive Media Memorandum of Agreement (2020 updates),https://www.sagaftra.org/sites/default/files/2020SAG-AFTRAIMAExtension.pdf,2020/11/08,2022/11/07,'2017 Interactive Media Memorandum of Agreement (2017 updates)'
validation,42,2020 Interactive Localization Agreement,https://www.sagaftra.org/sites/default/files/2020InteractiveLocalizationAgreement.pdf,2020/XX/XX,2022/11/13,"'AFTRA 2011-2014 Interactive Media Agreement (base agreement)', '2017 Interactive Media Memorandum of Agreement (2017 updates)', '2020 Interactive Media Memorandum of Agreement (2020 updates)'"
validation,43,Interim Interactive Media Localization Agreement,https://www.sagaftra.org/sites/default/files/Interim%20Interactive%20Media%20Localization%20Agreement.pdf,XXXX/XX/XX,2022/11/13,'Interim Interactive Media Agreement'
validation,44,2017 Music Video Agreement Memorandum,https://www.sagaftra.org/sites/default/files/2017%20Music%20Video%20Agreement%20MOA%20%28rev.%2005.01.18%29.pdf,2017/05/01,2019/04/30,"'2012 Music Video Supplement to Sound Recordings Code', '2015-2017 Sound Recordings Code MOA'"
validation,45,2012 Music Video Agreement,https://www.sagaftra.org/sites/default/files/independent_mv_agreement_0.pdf,2012/XX/XX,2014/12/31,
validation,46,2021-2026 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2021-2026%20Sound%20Recordings%20Code%20MOA.pdf,2024/04/06,2026/12/31,"'2002-2006 Sound Recordings Code', 'Sound Recordings Code Appendix on Artificial Intelligence'"
validation,47,Sound Recordings Code Appendix on Artificial Intelligence,https://www.sagaftra.org/sites/default/files/Sound%20Recordings%20Code%20Appendix%20on%20Artificial%20Intelligence.pdf,2021/XX/XX,2026/12/31,'2021-2026 Sound Recordings Code MOA'
validation,48,2018-2020 Sound Recordings MOA,https://www.sagaftra.org/sites/default/files/2018-2020%20Sound%20Recordings%20MOA.pdf,2018/01/01,2020/12/31,"'2002-2006 Sound Recordings Code', '2015-2017 Sound Recordings Code MOA'"
validation,49,2015-2017 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2015-2017_sound_recordings_moa.pdf,2015/01/01,2017/12/31,'2012-2014 Sound Recordings Code MOA'
validation,50,2010-2011 Sound Recordings Code Extension,https://www.sagaftra.org/sites/default/files/10-11_sr_extension_signed_0.pdf,2010/07/01,2011/12/31,'2007-2010 Sound Recordings Code MOA'
validation,51,2012 Music Video Supplement to Sound Recordings Code,https://www.sagaftra.org/sites/default/files/mv_supplement_to_src_0.pdf,2012/XX/XX,2014/12/31,'2012-2014 Sound Recordings Code MOA'
validation,52,2012-2014 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/2012_-_2014_sr_code_moa_0.pdf,2012/01/01,2014/12/31,"'2007-2010 Sound Recordings Code MOA', '2010-2011 Sound Recordings Code Extension'"
validation,53,2007-2010 Sound Recordings Code MOA,https://www.sagaftra.org/sites/default/files/07-10_sound_recordings_moa_0.pdf,2007/07/01,2010/06/30,'2002-2006 Sound Recordings Code'
validation,54,2006-2007 Sound Recordings Code Extension,https://www.sagaftra.org/sites/default/files/06-07_sr_moa_0.pdf,2006/07/01,2007/06/30,'2002-2006 Sound Recordings Code'
validation,55,2002-2006 Sound Recordings Code,https://www.sagaftra.org/sites/default/files/2002-2006_aftra_national_code_of_fair_practice_for_sound_recordings.pdf,2002/07/01,2006/06/30,
validation,56,2023 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2023%20Basic%20Cable%20Animation%20Agreement.PDF,2023/07/01,2026/06/30,"'2014 Television Animation Agreement', '2018 Basic Cable Animation Agreement', '2020 Basic Cable Animation Agreement'"
validation,57,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,58,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,59,2020 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2020%20MOA%20SAG-AFTRA%20Animation%20TV%20Agreement.pdf,2020/07/01,2023/06/30,"'2014 Television Animation Agreement', '2018 Television Animation Agreement', '2020 Theatrical/Television MOA', '2017 Theatrical/Television MOA', '2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2018 Basic Cable Animation Agreement', '2020 Basic Cable Animation Agreement'"
validation,60,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,61,2020 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2020%20MOA%20SAG-AFTRA%20Animation%20Basic%20Cable.pdf,2020/07/01,2023/06/30,"'2014 Television Animation Agreement', '2018 Basic Cable Animation Agreement'"
validation,62,2018 Basic Cable Animation Agreement,https://www.sagaftra.org/sites/default/files/2018%20MOA%20SAG-AFTRA%20MOA%20Basic%20Cable%20Animation.pdf,2018/11/20,2020/06/30,'2014 Television Animation Agreement'
validation,63,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf,2014/07/01,2017/06/30,'2014 SAG-AFTRA Basic Agreement'
validation,64,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA'"
validation,65,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,66,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,67,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/XX/XX,,
validation,68,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf,2014/07/01,2017/06/30,'2014 SAG-AFTRA Basic Agreement'
validation,69,2014 Television Adherence Letter,https://www.sagaftra.org/sites/default/files/adherence_letter_television_2_4_1.pdf,2014/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,70,2024 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2024%20MOA%20National%20Code%20of%20Fair%20Practice%20for%20Network%20TV%20Broadcasting.pdf,2024/07/01,,'2021 MOA National Code of Fair Practice for Network TV Broadcasting'
validation,71,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,72,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,73,2021 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/Network%20Code%202021-24%20MOA%20FE.pdf,2021/07/01,2024/06/30,'2018 MOA National Code of Fair Practice for Network TV Broadcasting'
validation,74,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,75,Memorandum of Agreement Theatrical-Television 2014,https://www.sagaftra.org/sites/default/files/memorandum_of_agreement_theatrical_television_2014_1_3_11.pdf,2014/07/01,2017/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,76,2014-2018 SAG-AFTRA Network Code,https://www.sagaftra.org/sites/default/files/2014-2018_network_television_code_v13.pdf,2014/11/16,2018/06/30,
validation,77,2018 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2018MOA-TV-National-Code_0.pdf,2018/07/01,2021/06/30,'2014-2018 SAG-AFTRA Network Code'
validation,78,2018-2022 National Public Television MOA,https://www.sagaftra.org/sites/default/files/2018-2022PublicTVMOAFE_0.pdf,2018/07/21,2022/07/20,
validation,79,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf,2014/07/01,2017/06/30,'2014 SAG-AFTRA Basic Agreement'
validation,80,2023 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2023%20Television%20Animation%20Agreement.PDF,2023/07/01,2026/06/30,"'2014 Television Animation Agreement', '2018 Television Animation Agreement', '2020 Television Animation Agreement', '2023 Theatrical/Television MOA', '2020 Theatrical/Television MOA', '2023 Basic Cable Animation Agreement'"
validation,81,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,82,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,84,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,85,2018 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/2018%20SAG-AFTRA%20MOA%20TV%20Animation.pdf,2018/11/20,2020/06/30,"'2014 Television Animation Agreement', '2017 SAG-AFTRA TV Agreement'"
validation,86,2014 Television Animation Agreement,https://www.sagaftra.org/sites/default/files/television_animation_agreement_sag_aftra_1_45_0.pdf,2014/07/01,2017/06/30,"'2014 SAG-AFTRA TV Agreement', '2014 SAG-AFTRA Basic Agreement'"
validation,88,2024 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2024%20MOA%20National%20Code%20of%20Fair%20Practice%20for%20Network%20TV%20Broadcasting.pdf,2024/07/01,,'2021 MOA National Code of Fair Practice for Network TV Broadcasting'
validation,89,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,90,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,91,2021 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/Network%20Code%202021-24%20MOA%20FE.pdf,2021/07/01,2024/06/30,'2018 MOA National Code of Fair Practice for Network TV Broadcasting'
validation,92,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,93,2014-2018 SAG-AFTRA Network Code,https://www.sagaftra.org/sites/default/files/2014-2018_network_television_code_v13.pdf,2014/11/16,2018/06/30,
validation,94,2018 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2018MOA-TV-National-Code_0.pdf,2018/07/01,2021/06/30,'2014-2018 SAG-AFTRA Network Code'
validation,95,2018-2022 National Public Television MOA,https://www.sagaftra.org/sites/default/files/2018-2022PublicTVMOAFE_0.pdf,2018/07/21,2022/07/20,
validation,96,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/XX/XX,,
validation,97,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf,2014/07/01,2017/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014-2018 SAG-AFTRA Network Code'"
validation,98,2020 SAG-AFTRA MOA 7-22-20,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA'"
validation,99,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,100,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,101,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/07/01,2017/06/30,"'2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA', '2023 Theatrical/Television MOA'"
validation,102,2020 Theatrical Adherence Letter,https://www.sagaftra.org/sites/default/files/Independent%28TH%29AdherenceLetter%20%5BSAMPLE%5D.pdf,2020/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,103,Low Budget Theatrical Agreement (LBA),https://www.sagaftra.org/sites/default/files/Low%20Budget%20Agreement%20Rev.%202.21.23%20SAMPLE.pdf,2022/07/01,,'2014 SAG-AFTRA Basic Agreement'
validation,104,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,105,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,106,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,107,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/07/01,,
validation,108,2020 Theatrical Adherence Letter,https://www.sagaftra.org/sites/default/files/Independent%28TH%29AdherenceLetter%20%5BSAMPLE%5D.pdf,2020/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,109,Moderate Low Budget Project Agreement (MPA),https://www.sagaftra.org/sites/default/files/Moderate%20Low%20Budget%20Project%20Agreement%20%28MPA%29%20Rev.%202.21.23%20SAMPLE.pdf,2023/03/28,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,110,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf,2020/07/01,2023/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA'"
validation,111,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf,2023/11/09,2026/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,112,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf,2017/07/01,2020/06/30,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement'"
validation,113,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf,2014/07/01,,
validation,114,2020 Indie Adherence Letter Non-episodic,https://www.sagaftra.org/sites/default/files/IndieAdherenceLetterNon-Episodic-12.1.20Sample.pdf,2020/XX/XX,,"'2014 SAG-AFTRA Basic Agreement', '2017 Theatrical/Television MOA', '2020 Theatrical/Television MOA'"
validation,115,Ultra Low Budget Project Agreement (UPA),https://www.sagaftra.org/sites/default/files/Ultra%20Low%20Budget%20Project%20Agreement%20%28UPA%29%20Rev.%203.21.23%20SAMPLE.pdf,2022/07/01,,"'2014 SAG-AFTRA Basic Agreement', '2014 SAG-AFTRA TV Agreement', 'Moderate Low Budget Project Agreement (MPA)'"
